P1	P2	P4	P6	P7	P3	P5	P8	P9	P10	TOTAL	gender	age	source	country
3	3	3	2	3	3	3	3	3	3	29	1	25	3	US
3	3	1	2	2	3	0	3	3	3	23	2	26	1	DE
2	2	1	1	1	0	1	2	1	0	11	2	44	1	US
2	2	2	1	1	2	2	1	2	1	16	1	30	3	CA
1	2	2	1	1	2	2	1	0	0	12	2	22	3	US
1	2	0	1	1	0	0	1	1	1	8	1	19	3	US
3	2	3	2	1	2	2	1	3	2	21	1	27	1	PH
1	1	1	1	1	2	2	2	2	2	15	1	31	3	AE
3	2	3	2	2	3	3	3	0	1	22	2	22	3	AU
2	2	2	2	2	1	0	0	0	0	11	2	23	3	AU
0	0	0	0	0	0	0	1	1	0	2	1	20	1	US
3	2	2	2	2	3	2	0	2	3	21	2	31	3	GB
1	2	1	0	1	0	1	0	0	0	6	2	16	1	US
3	3	3	2	2	2	2	2	1	2	22	2	65	1	US
2	3	2	3	3	3	3	3	2	2	26	2	16	1	US
2	2	2	1	1	2	0	0	1	1	12	2	19	1	US
3	3	3	2	3	2	2	2	3	2	25	2	52	3	IN
2	2	2	2	2	3	3	1	1	1	19	1	35	3	GB
3	3	3	2	1	3	3	3	3	3	27	1	49	1	GB
0	1	0	0	0	0	0	0	0	0	1	1	19	1	GB
3	3	1	1	1	2	1	0	1	1	14	1	34	3	GB
2	2	2	2	1	2	2	1	1	2	17	1	28	1	US
2	2	2	2	2	2	2	2	2	2	20	2	25	3	US
2	2	2	2	2	3	2	3	3	3	24	2	25	3	US
1	1	0	0	0	1	1	1	1	1	7	1	32	1	US
0	0	0	0	0	3	3	3	3	3	15	2	43	1	CA
3	3	3	2	2	3	3	2	2	2	25	1	28	1	GR
3	3	3	2	3	3	3	3	3	2	28	2	64	1	IT
2	2	3	2	2	3	2	2	2	2	22	1	26	3	DE
3	3	3	2	2	2	3	1	1	3	23	1	16	1	CA
