"","Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","TIPI1","TIPI2","TIPI3","TIPI4","TIPI5","TIPI6","TIPI7","TIPI8","TIPI9","TIPI10","VCL1","VCL2","VCL3","VCL4","VCL5","VCL6","VCL7","VCL8","VCL9","VCL10","VCL11","VCL12","VCL13","VCL14","VCL15","VCL16","testelapse","T1"
"70243",5,4,4,3,3,4,5,2,3,4,4,5,3,4,3,4,3,2,4,5,4,6,5,5,5,6,6,4,4,6,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,"389",74
"70244",4,5,2,2,3,5,5,4,2,4,5,2,5,5,5,3,4,5,4,1,7,3,5,1,7,7,2,1,3,7,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,"90",75
"70245",4,5,3,4,5,4,4,5,1,3,5,5,5,4,5,5,4,5,4,3,3,7,6,7,7,2,5,3,6,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"416",83
"70246",4,5,3,5,5,5,5,5,4,4,3,4,5,3,4,4,4,5,5,1,2,3,4,2,6,2,4,5,6,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"121",83
"70247",1,1,2,1,2,1,5,1,2,2,2,2,1,4,3,5,5,1,5,1,1,7,7,1,7,1,7,7,6,7,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,"264",47
"70248",1,1,4,2,2,5,5,5,2,2,3,4,4,5,4,4,3,4,4,2,4,3,5,6,6,1,5,3,4,6,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"487",66
"70249",5,2,1,3,4,2,2,4,1,1,4,5,4,2,3,1,3,3,1,1,2,2,2,3,7,3,7,1,5,6,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,"704",52
"70250",2,1,1,2,3,2,4,3,1,1,4,3,2,2,2,4,4,1,1,4,5,3,4,3,6,6,6,7,5,7,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,"222",47
"70251",5,5,5,4,4,5,5,5,5,5,5,5,5,4,5,1,5,4,5,4,6,1,5,6,7,7,1,3,7,5,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,"109",91
"70252",5,4,5,5,5,5,5,4,4,5,5,5,5,4,4,5,2,4,5,3,3,2,7,6,5,4,3,7,7,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"137",89
"70253",5,5,3,2,5,1,2,5,1,4,5,5,5,1,5,1,5,5,5,5,5,7,7,7,7,1,6,7,7,7,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,"124",75
"70254",4,4,3,2,5,4,1,4,1,2,5,1,3,5,2,2,5,4,5,1,4,1,6,3,7,1,7,7,4,7,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,"490",63
"70255",3,5,1,1,5,1,1,3,4,1,4,5,5,2,3,2,4,4,1,5,4,3,6,3,7,2,6,4,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,"244",60
"70256",5,5,4,2,5,2,1,5,1,2,5,5,5,4,4,2,2,5,4,2,6,6,7,7,6,4,7,7,1,7,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,"144",70
"70257",1,4,1,4,5,1,1,4,1,1,3,2,1,2,2,1,1,1,5,1,2,6,6,3,4,3,7,7,6,4,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,"190",42
"70258",1,4,4,4,5,1,1,1,1,1,5,1,1,5,1,5,5,3,1,1,6,7,5,7,7,7,7,6,6,7,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,"286",51
"70259",4,4,2,2,2,4,4,4,1,2,4,4,4,2,4,1,5,4,5,2,2,3,6,3,6,1,5,5,3,5,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,"138",64
"70260",2,4,2,4,3,4,2,2,5,3,4,4,4,3,2,3,5,3,2,2,1,6,3,5,1,6,3,3,3,4,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,"49",63
"70261",2,3,5,2,4,2,2,1,1,1,2,4,1,2,1,2,4,1,5,1,2,3,5,3,6,2,7,5,4,6,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,"217",46
"70262",4,4,4,2,4,3,4,4,2,4,5,1,1,5,4,5,2,4,5,5,5,2,7,3,6,2,7,5,7,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"170",72
"70263",1,2,2,1,2,1,1,1,1,2,2,1,1,2,1,1,4,2,3,1,5,7,6,6,7,2,6,7,6,7,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,"123",32
"70264",5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,7,3,6,5,7,7,2,3,1,7,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,"167",98
"70265",2,2,3,4,4,3,4,2,2,2,3,4,2,4,2,4,4,3,5,2,6,2,3,6,6,7,5,1,6,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"218",61
"70266",5,5,5,3,5,5,5,3,5,3,5,5,3,2,5,3,3,4,5,3,1,1,7,1,7,1,1,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"445",82
"70267",4,4,3,5,4,3,4,2,1,3,5,4,4,4,3,1,5,4,5,3,1,5,4,2,5,1,5,2,7,7,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,"1109",71
"70268",5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,1,1,7,7,1,7,7,7,7,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,"199",92
"70269",3,3,2,2,2,2,4,2,1,3,4,4,1,5,2,3,5,3,1,1,4,4,4,4,6,4,2,4,6,6,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,"122",53
"70270",4,5,4,2,4,5,5,5,5,5,5,4,3,5,5,5,5,5,5,2,3,7,6,7,7,3,3,6,6,7,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,"90",88
"70271",2,4,1,3,2,2,1,4,1,1,4,1,1,4,4,1,2,2,5,1,3,3,3,1,4,1,6,2,3,4,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,"269",46
"70272",3,5,5,5,5,5,5,4,4,5,4,5,1,5,3,5,4,5,5,4,1,3,7,5,6,1,1,5,7,5,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,"164",87
"70273",4,1,1,5,1,2,1,4,1,1,5,1,2,5,5,1,1,5,4,1,6,3,7,1,7,7,7,5,1,6,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,"1397",51
"70274",4,4,3,2,3,2,4,2,2,2,4,3,2,2,3,4,3,2,4,2,2,2,6,1,2,3,4,2,3,5,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,"229",57
